mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,eye_x,eye_y,eye_z,time,frame,ray_x,ray_y,ray_z,base_x,base_y,base_z
-0.01288545,-0.1068094,-0.9941961,0,0.03607417,0.9935817,-0.107211,0,-0.9992661,0.03724625,0.008949757,0,10.81768,-5.080936,-28.4675,1,-0.01288552,0.03607415,-0.999266,0,-0.1068094,0.9935816,0.03724625,0,-0.9941959,-0.107211,0.008949685,0,-28.70557,1.606058,11.25376,1,0.0,0.0,0.0006035082,0.0003999328,-0.02108613,3.84,1,-0.052238645374749704,-0.2012700027901753,0.9781418659408531,-0.03480097015697124,-0.1444822764659061,0.9888952241078743
-0.01261985,-0.1078476,-0.9940874,0,0.03590266,0.9934766,-0.1082372,0,-0.9992756,0.03705632,0.008665442,0,10.82566,-5.108545,-28.45966,1,-0.01261979,0.03590267,-0.9992756,0,-0.1078477,0.9934766,0.03705632,0,-0.9940873,-0.1082372,0.00866551,0,-28.70571,1.606158,11.25374,1,0.0,0.0,0.000602928,0.0003974076,-0.02108807,3.86,2,-0.052396235366351955,-0.20282587459451099,0.9778119957918319,-0.034964413041057386,-0.14605441714472425,0.9886584835286699
-0.01226902,-0.1095491,-0.9939056,0,0.03570223,0.9932987,-0.1099229,0,-0.9992871,0.0368333,0.008275628,0,10.83624,-5.154687,-28.44741,1,-0.012269,0.03570224,-0.9992873,0,-0.1095491,0.9932987,0.0368333,0,-0.9939057,-0.1099229,0.008275656,0,-28.70579,1.606243,11.25381,1,1.0,1.0,0.0006026225,0.0003913346,-0.02108959,3.88,3,-0.05228927816501902,-0.204207226960197,0.9775301733686832,-0.034862494577894275,-0.1474498302649598,0.9884549327241182
-0.01214159,-0.1092456,-0.9939407,0,0.03548888,0.9933406,-0.1096131,0,-0.9992964,0.03660472,0.008183718,0,10.84045,-5.143518,-28.44793,1,-0.01214158,0.03548888,-0.9992963,0,-0.1092456,0.9933407,0.03660473,0,-0.9939405,-0.1096131,0.008183725,0,-28.70584,1.606284,11.25391,1,1.0,1.0,0.000603416,0.0003830414,-0.02108907,3.9,4,-0.05204949973385799,-0.2047199425153139,0.9774357240831651,-0.03462443719543509,-0.14796738483448937,0.9883859576977717
-0.01206124,-0.1090028,-0.9939683,0,0.03508041,0.9933825,-0.1093642,0,-0.9993117,0.03618788,0.008157611,0,10.84353,-5.131977,-28.44882,1,-0.01206129,0.0350804,-0.9993117,0,-0.1090028,0.9933825,0.03618788,0,-0.9939684,-0.1093642,0.008157562,0,-28.70584,1.606338,11.25386,1,1.0,1.0,0.0006046984,0.0003732071,-0.02109477,3.92,5,-0.05164812085443122,-0.2054144715003208,0.9773112945783701,-0.034225339235381166,-0.1486683449576735,0.9882946672737687
-0.0121994,-0.1089443,-0.993973,0,0.03432448,0.9934155,-0.1093044,0,-0.9993362,0.03545105,0.008379579,0,10.84097,-5.12205,-28.4515,1,-0.01219936,0.03432449,-0.9993363,0,-0.1089443,0.9934155,0.03545106,0,-0.993973,-0.1093044,0.00837962,0,-28.70579,1.606339,11.25377,1,1.0,1.0,0.0006054686,0.0003666,-0.0210958,3.94,6,-0.0508380758892856,-0.21056147145210916,0.9762578331464479,-0.03343419437078145,-0.15386835354974326,0.9875255360863677
-0.01232195,-0.108714,-0.9939967,0,0.03348552,0.9934697,-0.1090715,0,-0.9993632,0.03462847,0.008601189,0,10.83907,-5.106173,-28.4549,1,-0.012322,0.03348551,-0.9993632,0,-0.108714,0.9934697,0.03462847,0,-0.9939967,-0.1090715,0.008601137,0,-28.70563,1.606258,11.25373,1,1.0,1.0,0.0006038668,0.0003454285,-0.02109892,3.96,7,-0.049891455482175294,-0.21038073922230355,0.976345628982968,-0.0324861598348355,-0.1536838325772989,0.9875859096926902
-0.01281011,-0.108018,-0.9940665,0,0.03369891,0.9935366,-0.1083947,0,-0.99935,0.03488749,0.009087324,0,10.82451,-5.089221,-28.46325,1,-0.01281021,0.03369888,-0.9993498,0,-0.108018,0.9935366,0.03488749,0,-0.9940664,-0.1083947,0.009087221,0,-28.70542,1.606287,11.25367,1,1.0,1.0,0.0006033406,0.0003353501,-0.02109761,3.98,8,-0.04893661680646058,-0.21064441820070642,0.9763371019358137,-0.03153162469989365,-0.1539485455826938,0.9875756183486702
-0.01353121,-0.1074358,-0.99412,0,0.0337809,0.9935943,-0.1078388,0,-0.9993377,0.03504146,0.009815335,0,10.80348,-5.074269,-28.47364,1,-0.01353129,0.0337809,-0.9993376,0,-0.1074358,0.9935943,0.03504146,0,-0.9941199,-0.1078388,0.009815251,0,-28.70519,1.606251,11.25361,1,1.0,1.0,0.0005970458,0.0003288727,-0.02108356,4.0,9,-0.04882310648832853,-0.21150616652570137,0.9761564658365129,-0.03142135113455443,-0.15481939178557885,0.98744298803527
-0.01385212,-0.107022,-0.9941602,0,0.03386189,0.9936351,-0.1074373,0,-0.9993305,0.03515239,0.01014006,0,10.79403,-5.063671,-28.47907,1,-0.0138522,0.03386189,-0.9993305,0,-0.107022,0.993635,0.03515238,0,-0.9941601,-0.1074373,0.01013998,0,-28.70515,1.60622,11.25358,1,1.0,1.0,0.0005952148,0.000328064,-0.02108295,4.02,10,-0.04874522330022978,-0.21187841445292369,0.9760796282549522,-0.03134484947063135,-0.1551955306535169,0.9873863720331757
