flag,xl,yl,zl,xr,yr,zr,xc,yc,zc,mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,ray_x,ray_y,ray_z,eye_x,eye_y,eye_z,time,frame
0,-3.55344,0.596832,5.785414,-3.554246,0.5688498,5.93005,-3,0.4260252,5.783568,-0.09289145,-0.2308925,-0.9685349,0,-0.2461222,0.9478782,-0.2023627,0,-0.9647772,-0.2195802,0.1448776,0,5.823778,-1.691428,-7.318683,1,-0.09289142,-0.2461223,-0.9647772,0,-0.2308925,0.9478783,-0.2195802,0,-0.9685348,-0.2023627,0.1448776,0,-6.937958,1.555601,6.307557,1,0,0,0.1014558,-0.4481174,0.888199,-0.003194275,-0.005662567,-0.02373,2.04,1
0,-3,1.338001,6.292779,-3,1.494547,6.46369,-3,1.415361,6.37761,0.1042905,-0.4466766,-0.8885964,0,0.01667805,0.8941284,-0.4475,0,-0.994407,-0.03184995,-0.1006988,0,6.988351,-4.309665,-4.836069,1,0.1042905,0.01667806,-0.9944071,0,-0.4466767,0.8941285,-0.03184997,0,-0.8885964,-0.4475001,-0.1006988,0,-6.951159,1.572701,6.325017,1,0.1248799,0.4387517,0.09068559,-0.4786723,0.8732978,-0.003143547,-0.005514954,-0.0236805,2.06,2
0,-3,1.302448,6.245076,-3,1.607345,6.459646,-3,1.451627,6.350739,0.095272,-0.4463778,-0.8897585,0,0.01685098,0.8944194,-0.4469117,0,-0.9953086,-0.02758488,-0.09273505,0,6.9308,-4.335023,-4.895677,1,0.09527203,0.01685098,-0.9953086,0,-0.4463778,0.8944193,-0.02758487,0,-0.8897586,-0.4469117,-0.09273502,0,-6.951339,1.572602,6.324703,1,0.1227695,0.4536854,0.08852691,-0.4701266,0.8781481,-0.003103585,-0.005503044,-0.02366474,2.08,3
0,-3,1.297822,6.267195,-3,1.526288,6.51494,-3,1.41014,6.389527,0.08683413,-0.4457273,-0.8909472,0,0.01672401,0.8948515,-0.4460506,0,-0.9960824,-0.02383222,-0.08515799,0,6.876895,-4.354874,-4.953239,1,0.08683414,0.01672399,-0.9960824,0,-0.4457273,0.8948515,-0.02383221,0,-0.8909473,-0.4460506,-0.085158,0,-6.951311,1.572561,6.324359,1,0.1432695,0.4511421,0.07010388,-0.4788308,0.8751037,-0.003073716,-0.005497483,-0.02366177,2.1,4
0,-3,1.314444,6.317316,-3,1.472265,6.456264,-3,1.392507,6.386385,0.07882565,-0.4448916,-0.8921087,0,0.0169524,0.8953621,-0.4450161,0,-0.9967442,-0.01995531,-0.07811952,0,6.824739,-4.374263,-5.007366,1,0.0788257,0.01695241,-0.9967443,0,-0.4448916,0.8953621,-0.01995531,0,-0.8921088,-0.4450161,-0.07811948,0,-6.951153,1.572495,6.324057,1,0.1191602,0.4442548,0.0627094,-0.4818398,0.8740126,-0.002926956,-0.005439751,-0.02362751,2.12,5
0,-2.999999,3.535761,6.638596,-3,1.57987,6.414803,-3,2.441341,6.511283,0.07113546,-0.4438863,-0.8932551,0,0.01676664,0.8959293,-0.44388,0,-0.9973257,-0.01659872,-0.0711748,0,6.774967,-4.389258,-5.060963,1,0.07113543,0.01676663,-0.9973258,0,-0.4438864,0.8959294,-0.01659873,0,-0.8932552,-0.44388,-0.07117484,0,-6.951004,1.572412,6.32378,1,0.02281032,0.2885475,0.03098467,-0.2403067,0.9702023,-0.01723302,-0.002317772,-0.01252168,2.14,6
0,-2.999999,3.527299,6.611177,-2.999999,3.527299,6.611177,-2.999999,3.527299,6.611177,0.06435227,-0.4426717,-0.8943716,0,0.01677018,0.8965824,-0.4425593,0,-0.9977863,-0.01348093,-0.06512082,0,6.730445,-4.401404,-5.108977,1,0.06435228,0.01677018,-0.9977863,0,-0.4426717,0.8965824,-0.01348092,0,-0.8943716,-0.4425594,-0.0651208,0,-6.950821,1.572325,6.32351,1,0.02281032,0.2885475,0,0,1,0,0,0,2.16,7
0,-2.999999,3.518708,6.58676,-2.999999,3.518708,6.58676,-2.999999,3.518708,6.58676,0.05810654,-0.4413856,-0.8954342,0,0.01711434,0.8972583,-0.4411741,0,-0.9981636,-0.01031031,-0.05969059,0,6.688763,-4.413435,-5.152884,1,0.05810652,0.01711437,-0.9981638,0,-0.4413856,0.8972583,-0.01031034,0,-0.8954341,-0.4411741,-0.05969061,0,-6.950756,1.572198,6.323399,1,0,0.2110986,0,0,1,0,0,0,2.18,8
0,-2.999999,3.51369,6.575059,-2.999999,3.51369,6.575059,-2.999999,3.51369,6.575059,0.05522352,-0.4405732,-0.8960165,0,0.01708469,0.8976715,-0.440334,0,-0.9983279,-0.009008676,-0.05709964,0,6.669705,-4.416626,-5.174576,1,0.05522355,0.01708465,-0.9983278,0,-0.4405733,0.8976715,-0.009008635,0,-0.8960166,-0.4403341,-0.05709964,0,-6.950678,1.572188,6.323298,1,0,0.145475,0,0,1,0,0,0,2.2,9
0,-2.999999,3.502343,6.554277,-2.999999,3.502343,6.554277,-2.999999,3.502343,6.554277,0.0500353,-0.4386823,-0.8972483,0,0.01716299,0.8986185,-0.4383951,0,-0.9986001,-0.006535798,-0.05249172,0,6.635097,-4.420479,-5.215343,1,0.05003528,0.01716295,-0.9985998,0,-0.4386822,0.8986185,-0.006535761,0,-0.897248,-0.4383951,-0.05249173,0,-6.950632,1.572066,6.323153,1,0,0.145475,0,0,1,0,0,0,2.22,10
