mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,eye_x,eye_y,eye_z,time,frame,ray_x,ray_y,ray_z,base_x,base_y,base_z
-0.07513595,0.04737104,-0.9960475,0,0.008963669,0.9988627,0.04682876,0,-0.997133,0.005409719,0.0754751,0,5.816437,-1.377081,-7.307991,1,-0.07513592,0.008963671,-0.9971329,0,0.04737104,0.9988627,0.005409716,0,-0.9960476,0.04682877,0.0754751,0,-6.776849,1.665603,6.358781,1,0.0,0.0,0.003757897,-0.002655548,-0.01997618,2.26,1,-0.007533490233886641,-0.024107063116344907,0.9996809971349864,0.010280890155114124,0.03358182087045442,0.9993830920145905
-0.07471788,0.04802276,-0.9960477,0,0.009161146,0.9988307,0.04746972,0,-0.9971627,0.005578103,0.07507038,0,5.819136,-1.373667,-7.306435,1,-0.0747178,0.009161142,-0.9971625,0,0.04802276,0.9988306,0.005578102,0,-0.9960478,0.04746972,0.07507044,0,-6.776798,1.665585,6.358784,1,0.0,0.0,0.003758698,-0.002651474,-0.01997637,2.28,2,-0.0077443144554423535,-0.024777809839013388,0.9996629860774064,0.010069778469165905,0.032911368549367354,0.9994075451895437
-0.07451713,0.04794336,-0.9960666,0,0.009003419,0.9988353,0.04740307,0,-0.997179,0.005435664,0.074862,0,5.820917,-1.373173,-7.305223,1,-0.07451715,0.00900342,-0.9971792,0,0.04794337,0.9988353,0.005435665,0,-0.9960666,0.04740307,0.074862,0,-6.776895,1.665455,6.358845,1,1.0,1.0,0.003760147,-0.002643654,-0.01997698,2.3,3,-0.007514089412048783,-0.025046601715546218,0.9996580446346693,0.010299878909123171,0.03264250250346793,0.9994140180749761
-0.07402551,0.04825943,-0.996088,0,0.00900775,0.99882,0.04772237,0,-0.9972157,0.005439838,0.07437289,0,5.824542,-1.371095,-7.30271,1,-0.07402552,0.009007749,-0.9972155,0,0.04825943,0.99882,0.005439838,0,-0.9960879,0.04772237,0.07437285,0,-6.776808,1.665514,6.358905,1,1.0,1.0,0.00376072,-0.002641487,-0.01997727,2.32,4,-0.007498816457080069,-0.025158222074813077,0.999655356417289,0.010315101538233352,0.03253089720933243,0.9994175000504102
-0.07406771,0.04782954,-0.9961056,0,0.008227026,0.9988445,0.04734931,0,-0.9972192,0.00468793,0.07437563,0,5.825598,-1.369276,-7.302105,1,-0.07406773,0.008227025,-0.9972193,0,0.04782954,0.9988445,0.004687931,0,-0.9961056,0.04734932,0.07437562,0,-6.776687,1.665516,6.358917,1,1.0,1.0,0.003760773,-0.002638733,-0.01997509,2.34,5,-0.007177009828794768,-0.022768333492942765,0.9997150061491881,0.010637919964450527,0.03491991718200657,0.9993334949068963
-0.07420146,0.04771171,-0.9961013,0,0.007933879,0.9988515,0.04725242,0,-0.9972117,0.004396746,0.07449484,0,5.825104,-1.368245,-7.302789,1,-0.07420151,0.007933879,-0.9972116,0,0.0477117,0.9988514,0.004396747,0,-0.9961013,0.04725243,0.07449478,0,-6.776804,1.665532,6.358898,1,1.0,1.0,0.003760773,-0.002637459,-0.01997508,2.36,6,-0.006012271254010645,-0.022852560536549892,0.9997207675502651,0.011802576276920962,0.034834965637279176,0.9993233832760429
-0.07425094,0.04764975,-0.9961007,0,0.007630829,0.9988557,0.04721273,0,-0.9972105,0.004095491,0.07452953,0,5.825232,-1.366775,-7.30295,1,-0.07425087,0.007630833,-0.9972103,0,0.04764975,0.9988557,0.004095483,0,-0.9961004,0.04721273,0.07452957,0,-6.776816,1.665551,6.358865,1,1.0,1.0,0.003758552,-0.002633385,-0.01997304,2.38,7,-0.006376137977001536,-0.022492467140630176,0.9997266795411761,0.011438872669544776,0.0351951745469533,0.9993149913218851
-0.07420516,0.04759721,-0.9961064,0,0.008013336,0.9988565,0.04713166,0,-0.9972108,0.004484724,0.07450175,0,5.824789,-1.369603,-7.302769,1,-0.0742052,0.008013339,-0.9972109,0,0.04759721,0.9988566,0.004484724,0,-0.9961064,0.04713167,0.07450174,0,-6.776917,1.665553,6.358754,1,1.0,1.0,0.003753412,-0.00262986,-0.01996909,2.4,8,-0.006994540715202769,-0.022474602528502672,0.9997229459412087,0.010820501585779622,0.035213429614971356,0.9993212351992644
-0.07451034,0.04716104,-0.9961045,0,0.007939311,0.9988775,0.04669845,0,-0.9971887,0.004428871,0.07480109,0,5.822603,-1.372367,-7.303986,1,-0.0745103,0.007939315,-0.9971886,0,0.04716104,0.9988776,0.004428866,0,-0.9961044,0.04669845,0.07480112,0,-6.776966,1.665684,6.358657,1,1.0,1.0,0.003745209,-0.002627586,-0.01995599,2.42,9,-0.006953373718117612,-0.021946125017397945,0.9997349739759317,0.010861876372806507,0.03574167885156949,0.9993020324379077
-0.07459605,0.04674969,-0.9961174,0,0.007338965,0.9988992,0.04633065,0,-0.9971868,0.003854387,0.07485712,0,5.822981,-1.371579,-7.303614,1,-0.07459613,0.007338968,-0.9971868,0,0.04674968,0.9988992,0.003854388,0,-0.9961174,0.04633065,0.07485703,0,-6.776764,1.665716,6.358614,1,1.0,1.0,0.003745209,-0.002626396,-0.01995432,2.44,10,-0.0068258158192245,-0.021576823451481368,0.9997438916683339,0.010989572922694108,0.03611074893144525,0.9992873676268438
