time,alpha,beta,value,repro
13.47889,-0.0932091,0.1373939,0.002020068,4.697834E-05
27.73697,0.5017695,-0.2559304,0.004509849,4.90201E-05
36.06793,-0.5312667,0.05571454,0.003367524,4.209405E-05
38.94794,2.921652,0.9390379,0.004885426,4.285461E-05
18.24992,-1.391671,-0.2522587,0.002299146,4.598292E-05
23.36536,2.21694,-1.880509,0.003490831,4.309668E-05
43.08273,0.02706405,0.5208691,0.004345597,4.302571E-05
10.55923,0.7957995,-1.647152,0.001271403,4.238011E-05
19.95973,1.992844,1.750695,0.002638258,4.628522E-05
23.66597,2.597961,-1.313433,0.003013611,4.185571E-05
32.28113,-1.189901,1.853903,0.003497923,4.214365E-05
21.11346,1.647097,1.114421,0.002279656,4.383954E-05
10.34091,4.014832,1.176219,0.001192502,4.96876E-05
31.5202,0.5296549,0.03628074,0.003324525,4.889007E-05
40.30194,0.8586844,-0.4876262,0.005570768,4.318425E-05
68.57037,0.5985637,-1.358637,0.002435497,4.510179E-05
25.78922,-3.14954,-3.85114,0.002837629,4.365583E-05
40.40051,0.9312909,0.6229795,0.004404967,3.797385E-05
