time,alpha,beta,value,repro
14.14767,-0.656444,-2.439609,0.002156934,4.313868E-05
59.72634,-1.005256,-2.285939,0.009053714,4.459958E-05
26.30989,-0.5572531,1.739502,0.003640097,4.333449E-05
56.68996,-0.6528239,-1.627597,0.008161559,4.459868E-05
26.30342,-4.302149,-2.869982,0.003539282,4.369484E-05
44.7359,4.126286,-4.750886,0.005542006,4.296128E-05
13.742,-1.235982,0.2208932,0.002636668,5.070515E-05
46.86273,0.4757646,-3.869988,0.006088691,4.059127E-05
44.21146,-1.243679,-1.021645,0.006276303,4.614929E-05
44.06232,-0.02745759,-3.529342,0.004558916,3.736816E-05
21.35172,-3.321251,0.7874624,0.002874469,4.562649E-05
31.651,-2.362173,-0.3989867,0.003672772,4.270665E-05
17.67365,0.3579797,-2.942015,0.002594318,4.894941E-05
25.35828,0.02019287,-1.504716,0.003599933,4.285635E-05
34.06961,2.807262,-2.443739,0.004641609,4.297786E-05
40.64038,-1.223603,-1.209351,0.004656546,3.946226E-05
19.15424,-1.837579,-4.149123,0.002964791,4.235416E-05
65.29578,-1.593862,1.744313,0.008137151,4.048334E-05
