time,alpha,beta,value,repro
11.23428,-0.8978473,-2.499699,0.001216873,3.925398E-05
46.71909,-1.000897,-2.287575,0.00617084,4.169486E-05
16.56077,0.203654,2.326023,0.001790665,4.069694E-05
43.00124,2.150102,0.06652407,0.005895936,4.399952E-05
15.63348,-4.306014,-2.629726,0.00221206,4.337372E-05
33.19206,3.889462,-4.362402,0.004179715,4.138332E-05
9.784271,-1.234979,0.3759128,0.001528746,4.777333E-05
37.54617,0.4614744,-3.871095,0.004551955,3.958222E-05
32.22224,-2.333495,-0.7622302,0.004627409,4.49263E-05
32.9906,-0.05343713,-3.464921,0.003401573,3.618695E-05
20.31601,-3.597816,-0.2642884,0.002210893,4.421787E-05
22.78174,-2.216087,-1.064913,0.002302494,4.111597E-05
10.69296,1.260273,1.151387,0.001485267,4.641459E-05
16.13553,-1.376771,-1.633152,0.002156959,4.313919E-05
24.92807,2.873225,-1.040742,0.003012083,4.24237E-05
32.21408,-1.377786,-1.233788,0.00299153,3.604253E-05
14.00464,-0.732494,-1.309089,0.001663896,4.058283E-05
47.86005,-1.70067,2.053019,0.005594971,3.806103E-05
