time,alpha,beta,value,repro
6.827449,2.980094,0.4709518,0.0006383066,4.255377E-05
10.35992,-1.215024,1.548743,0.001162395,4.305167E-05
17.69793,0.1954114,-1.625853,0.001789683,4.067461E-05
21.14036,0.7652884,0.4395508,0.002051034,4.102067E-05
9.773735,-4.99194,-1.429881,0.0004216995,4.216996E-05
14.97969,1.184375,-4.904555,0.001099497,4.072211E-05
18.80624,0.5416607,2.771068,0.001635757,4.089392E-05
6.611351,-1.406461,-1.25269,0.0006041946,3.554086E-05
7.56076,-4.915892,1.383992,0.0008049826,4.024913E-05
14.91238,-2.628049,-1.583353,0.001285077,4.283589E-05
21.40479,1.290409,0.6195561,0.002042898,4.085795E-05
11.26729,-3.065934,0.9580753,0.000902527,3.924031E-05
7.517319,4.990986,-0.4544779,0.0004272197,4.272197E-05
44.80617,2.786747,-1.392424,0.001080251,4.00093E-05
28.31062,0.8601803,-0.5370782,0.002673802,4.113542E-05
9.728027,1.23793,0.4452405,0.0009219406,4.609703E-05
12.47644,-4.999064,-1.892181,0.0009025875,3.61035E-05
23.20447,2.044036,0.2700894,0.001924837,3.631767E-05
