time,alpha,beta,value,repro
21.09746,2.136694,-4.998585,0.0151053,0.0002697375
63.35093,0.9530681,-1.21875,0.02833235,0.0001967524
35.08291,1.989945,4.553901,0.02372604,0.0002965755
57.93015,3.088147,-1.457144,0.03370456,0.0002696365
36.42683,-1.772051,1.511555,0.02714257,0.0003350934
58.20663,4.660834,-1.047418,0.02467609,0.0001869401
30.80582,-4.985645,3.280177,0.02572242,0.0003523619
65.16162,2.180046,-1.20206,0.02843219,0.0001846246
57.71423,-2.486895,-1.09829,0.02656528,0.0002059324
43.71353,0.2313527,-0.9718181,0.02326515,0.0002528821
32.22147,-3.094534,1.812234,0.03347757,0.0004782511
41.54321,-0.9434655,2.67176,0.02247251,0.0003121182
27.03088,-3.71166,-2.936403,0.01925016,0.000320836
46.13586,-4.503089,2.500313,0.05424751,0.0004931592
55.18103,4.942175,1.114263,0.02597938,0.0002450884
48.91315,-1.516374,-0.4742958,0.02118874,0.0001668404
23.45093,-3.439084,-4.95775,0.01380861,0.0002227196
81.08136,3.391697,-1.052861,0.02770383,0.0001884614
