time,alpha,beta,value,repro
43.84198,1.450679,-0.5271837,0.03520613,0.000298357
82.91782,-0.7212576,1.472511,0.04935818,0.0003065726
68.50713,-1.37666,4.30582,0.04887967,0.0003153527
92.85736,4.999554,-3.939364,0.1006621,0.000637102
47.01178,0.05958095,-1.103603,0.02970922,0.0003536812
57.43793,1.459775,-0.04275007,0.03497431,0.0002363129
87.66681,-2.230917,0.9596211,0.05773429,0.0003954404
46.77213,-3.077213,-1.880443,0.03279588,0.0003858338
54.12024,-2.375902,-0.8321938,0.03900569,0.0003047319
76.65497,-3.217714,-0.6955156,0.03975294,0.0002760621
87.57867,-1.372033,1.673297,0.03969569,0.0003253745
44.32745,-3.607454,2.768369,0.02408717,0.000250908
42.62244,0.8395911,-0.2919243,0.03027207,0.0003363564
65.47241,0.7291049,2.584172,0.05806252,0.0004536134
78.53528,2.193917,-0.2098269,0.03345057,0.0002200695
47.32648,-1.913711,1.962768,0.02698269,0.0002498397
53.10071,2.455967,-2.903316,0.03579361,0.0003475108
78.09985,0.711935,0.5933654,0.04016858,0.0002494943
