time,alpha,beta,value,repro
34.48322,-0.4834715,-2.354012,0.005489253,4.732115E-05
122.8978,-0.1943772,-0.5909913,0.01790451,4.62649E-05
98.73401,-1.942841,1.876811,0.01422659,4.473771E-05
84.961,0.8314584,-0.09690362,0.01394032,4.496877E-05
90.26758,-0.4309569,-0.5081653,0.01217725,4.54375E-05
79.00943,3.883481,-0.9189864,0.009761271,4.519107E-05
41.14325,-0.9260442,0.9630163,0.006115784,4.892627E-05
71.28595,0.2215463,-0.7452949,0.009211905,4.058108E-05
66.9696,0.08670626,-0.1245765,0.009935241,4.799633E-05
64.03925,-0.1640904,-1.088307,0.008004216,4.042533E-05
44.71429,-3.189527,1.936913,0.006414453,4.71651E-05
50.41888,0.3422612,-0.0464775,0.006595115,4.338891E-05
38.1745,1.183415,0.3034422,0.00471886,4.581418E-05
34.89795,-0.01545664,0.5521227,0.005417814,4.404726E-05
53.15472,2.201006,0.03529038,0.007695729,4.422833E-05
63.37006,-0.7576568,-0.8555701,0.007534618,4.185899E-05
28.89282,0.0613406,-0.5784087,0.004774665,4.504401E-05
99.14624,0.254631,1.313485,0.01256623,4.120076E-05
