time,alpha,beta,value,repro
81.71309,-0.2758839,-1.098873,0.01180042,4.503976E-05
103.1326,-0.01681384,-0.8131108,0.0139294,4.786736E-05
62.90031,-2.622442,0.007297194,0.007200952,4.364213E-05
135.1847,1.696137,-0.08570299,0.01530894,4.386517E-05
85.96423,0.9081678,-1.631792,0.01257121,4.872563E-05
63.97226,2.221846,-1.688504,0.008402535,4.399233E-05
73.55902,0.2924808,-0.4964551,0.008347496,4.561474E-05
52.73621,0.7199668,-2.271286,0.00634554,4.7004E-05
36.7229,0.4870552,-0.9489087,0.005347235,4.774317E-05
63.69897,0.3048476,-1.010367,0.007825029,4.549435E-05
83.93567,0.4013579,-0.285912,0.009494265,4.457401E-05
51.11011,2.317307,-1.56007,0.005550484,4.269603E-05
34.89136,0.5801947,-0.4546836,0.004087647,4.924876E-05
48.95648,1.196109,-1.908033,0.006807935,4.794321E-05
82.29993,1.004323,-0.1795286,0.009538947,4.355683E-05
38.28735,0.1607473,-1.831038,0.004989091,4.454545E-05
54.68164,1.818945,-2.657964,0.006408961,4.545362E-05
79.19836,1.552581,0.3027817,0.008467058,4.110222E-05
