time,alpha,beta,value,repro
28.29345,-0.4520247,-2.046932,0.004290992,4.664122E-05
104.8553,-1.276184,0.3013037,0.01403052,4.440039E-05
93.16222,-1.456765,2.632166,0.0128632,4.513403E-05
76.02635,-0.6037176,0.9419998,0.01118728,4.353029E-05
71.74622,-1.116371,1.528565,0.009559301,4.405208E-05
63.33514,3.712194,1.120816,0.007958251,4.301757E-05
35.0119,-0.9150785,2.03539,0.004842948,4.747988E-05
68.07483,-1.070257,1.552151,0.007373905,4.007557E-05
62.98859,-1.618673,0.5471824,0.007893548,4.61611E-05
63.46912,-1.227352,1.172687,0.006819914,3.831412E-05
41.53882,-1.551516,4.129007,0.004917652,4.553382E-05
47.72028,-1.060224,1.688343,0.005450467,4.192667E-05
27.47131,1.15743,0.971249,0.003092002,4.294448E-05
32.14764,-2.304617,2.632582,0.004699944,4.476137E-05
46.98749,0.06153606,1.870345,0.005999375,4.081208E-05
51.0929,-0.9676802,1.918173,0.006115053,3.945196E-05
30.16431,-0.7691151,0.10332,0.003505318,4.327554E-05
88.62067,-1.416936,1.695387,0.009634123,4.014218E-05
