time,alpha,beta,value,repro
72.76435,4.004368,-1.030474,0.01004867,4.426726E-05
84.91845,2.295714,0.003691104,0.01109843,4.605157E-05
50.56227,-1.891676,-0.1627755,0.005863162,4.100113E-05
103.1834,4.268421,-0.1851525,0.01279764,4.26588E-05
61.98834,3.8186,-2.270196,0.009134566,4.613417E-05
56.2572,4.602621,-1.957971,0.007549821,4.4151E-05
59.96338,2.816791,-1.438415,0.007223645,4.486736E-05
38.27313,2.082508,-3.948095,0.005135212,4.668374E-05
28.46826,1.256402,-0.582877,0.00378825,4.456765E-05
53.79584,1.462573,-2.511426,0.006405482,4.387316E-05
71.08954,2.753577,0.09849457,0.007607063,4.249756E-05
42.44165,4.908068,-1.917544,0.00418314,4.101117E-05
24.63617,4.95356,-0.354982,0.003198903,4.774482E-05
38.94751,4.281767,-2.138099,0.005026616,4.48805E-05
68.83716,2.843737,-1.63019,0.008127308,4.16785E-05
32.01227,1.756219,-1.452039,0.003873759,4.121021E-05
45.24719,4.695313,-3.736723,0.005254627,4.491134E-05
57.42444,4.639171,0.1897033,0.006704192,3.990591E-05
