time,alpha,beta,value,repro
82.3768,2.299935,-2.571222,0.05359098,0.0002791197
247.065,-0.7104686,0.8946962,0.08644013,0.0002155614
200.4064,-1.051513,4.583002,0.1074963,0.0002654229
166.5936,4.828173,-1.370063,0.1215627,0.0003358086
172.7715,-2.475587,-0.7940496,0.1407472,0.0003684481
155.1914,4.917023,-1.04687,0.07243723,0.0002235717
90.81116,0.4422496,4.852898,0.09005404,0.0004247832
123.2813,-0.005395507,-4.997932,0.06386258,0.0002374074
123.5354,-2.519577,1.275561,0.06278051,0.0002258292
98.94177,-2.154452,1.02767,0.06151287,0.0002563036
109.9803,-3.223926,1.858706,0.1023743,0.0004412686
93.84009,-3.549548,4.94471,0.05640575,0.0002711815
92.974,0.4678146,-0.1287321,0.06410346,0.0003111819
100.7242,-1.954292,3.669675,0.1187254,0.0004885818
84.61951,0.3556142,1.67223,0.09297074,0.0004095628
127.6381,-1.849011,0.09579092,0.05857608,0.0002235728
64.22607,-1.637707,-0.2171788,0.03098321,0.0002151612
167.0059,-3.1886,2.162485,0.06424019,0.000198886
