time,alpha,beta,value,repro
160.6057,1.017694,-0.4586736,0.09781062,0.0002802596
165.948,-0.4286349,1.715007,0.08893702,0.0002491233
118.5825,-2.219066,1.475093,0.07918295,0.0003093084
175.1267,3.603658,3.154857,0.2075981,0.0005831408
187.4412,-2.643287,-1.173813,0.1288029,0.0003777211
120.262,2.019743,0.1215711,0.05683021,0.0002367925
153.8689,-0.1377052,0.6041662,0.09581347,0.0003699362
140.0016,0.1551621,-0.1510088,0.07301359,0.0003544349
86.16907,-2.268684,-0.8880767,0.05526447,0.0002893428
151.1039,0.3743849,-0.8451353,0.06675303,0.0002864937
170.9545,-1.448666,1.90916,0.1055627,0.0004075778
96.90308,-3.492513,2.804071,0.03848713,0.0002237624
110.0425,0.7637056,0.5364168,0.07241895,0.000377182
107.3136,-3.033997,4.882634,0.1138832,0.0005371848
131.3737,2.11799,0.4946492,0.05041739,0.0002355953
89.63281,-2.145467,1.093016,0.04663445,0.0002695633
102.7202,1.582188,-0.7409687,0.05603244,0.0003130304
125.1956,0.6919438,0.3402226,0.05381452,0.0002370684
