time,alpha,beta,value,repro
128.3199,-1.211165,-3.054195,0.01226122,4.609481E-05
145.3311,0.01353352,-0.7689161,0.0140514,4.84531E-05
105.3185,-2.536572,1.045203,0.007523026,4.39943E-05
189.3221,-0.02693859,-1.062487,0.01534295,4.383701E-05
135.1504,-0.9757993,-3.189325,0.01232857,4.834735E-05
95.05286,2.551883,-1.914385,0.008407988,4.425257E-05
102.9174,-0.716863,-0.907554,0.008314027,4.593385E-05
79.50305,-1.412027,-3.966936,0.006510817,4.717983E-05
51.80505,-2.085362,-2.179708,0.005329234,4.716136E-05
108.9253,-1.070142,-2.541432,0.007684166,4.441715E-05
158.34,-0.7936329,-2.690905,0.009383635,4.426243E-05
70.17102,-1.330921,-1.471969,0.005139216,4.247286E-05
53.39075,0.3294871,-1.610362,0.003935051,4.858088E-05
75.31494,-0.4734726,-1.402482,0.006275416,4.718358E-05
118.963,-0.1094218,-0.5009425,0.009335831,4.282491E-05
58.47815,-1.21067,-2.278788,0.004934312,4.445326E-05
78.49658,-1.570894,-3.400038,0.006358577,4.574516E-05
120.5435,0.58488,-0.7687602,0.008397255,4.076337E-05
