time,alpha,beta,value,repro
50.08551,0.306794,-3.311139,0.005709042,4.757535E-05
168.2127,-0.8930848,-2.276748,0.01739185,4.625493E-05
138.7314,-2.622054,0.2977054,0.01417822,4.444583E-05
128.9013,-0.9376956,-2.377805,0.01397125,4.521439E-05
113.5627,-1.194555,-1.772801,0.01209325,4.529307E-05
98.82947,2.080178,-1.943244,0.009311921,4.351365E-05
54.6955,-0.9694943,0.5344254,0.005952695,4.839589E-05
99.14374,0.6405792,-2.930351,0.009102019,4.027442E-05
79.92999,-0.9913152,-1.183975,0.009223774,4.658472E-05
87.2373,-0.04089805,-3.549358,0.007958541,3.939872E-05
60.24146,-2.439683,0.9154254,0.00607309,4.600826E-05
68.00293,-2.529686,-0.2787162,0.006545874,4.363916E-05
45.1095,0.4137947,-3.318275,0.005470652,4.884511E-05
50.19507,-0.7867312,-0.8475329,0.005552424,4.441939E-05
72.71436,2.727336,-2.170366,0.007582434,4.357721E-05
75.00085,-1.24571,-1.237222,0.007503302,4.168501E-05
45.93054,-1.198097,-1.253951,0.004608216,4.388777E-05
115.6453,-2.07523,-0.3624272,0.01229123,4.110781E-05
