time,alpha,beta,value,repro
139.3855,-1.327867,0.08406921,0.01213389,4.561613E-05
166.7651,0.4717155,0.6849509,0.01482155,4.827867E-05
93.98993,-0.8900975,1.126845,0.007514853,4.420502E-05
167.9546,1.571923,0.329681,0.01547309,4.383313E-05
121.5037,-0.7683296,0.02976483,0.01253306,4.914926E-05
87.02911,2.346418,-1.2324,0.008253146,4.366744E-05
99.04126,0.07134433,1.089562,0.00856686,4.581208E-05
81.67493,0.01260652,0.02362465,0.006163115,4.704668E-05
59.34119,0.9949656,0.8909326,0.005792459,4.908863E-05
119.6831,-1.521809,0.3975298,0.007691292,4.524289E-05
161.1205,0.003213445,0.520596,0.009492826,4.477748E-05
80.62573,1.266376,1.417421,0.00541456,4.230125E-05
47.45984,0.3065104,1.42582,0.003783636,4.850815E-05
71.78589,-0.2604824,0.9294088,0.006377107,4.555076E-05
115.967,0.7810678,0.3824981,0.009487311,4.351978E-05
60.78918,-0.6146822,0.2121939,0.005101725,4.436283E-05
81.02209,-0.163769,-1.121923,0.006283762,4.488401E-05
127.5355,1.087497,0.5268744,0.008424763,4.089691E-05
