time,alpha,beta,value,repro
41.05621,-0.4988075,-2.392667,0.005419818,4.712885E-05
163.7168,-0.2355269,-0.3912572,0.01760784,4.573464E-05
143.9436,-1.294865,1.981696,0.01464879,4.521231E-05
120.5241,0.0399483,0.39263,0.01399113,4.513267E-05
114.9257,-0.5404109,-0.4883531,0.01216974,4.540948E-05
106.7768,3.67946,-0.2729355,0.009798398,4.515391E-05
59.90552,-0.9280339,0.986882,0.006032062,4.864566E-05
94.88599,-0.02324311,-0.3745959,0.008942568,4.028184E-05
87.32239,-0.1062725,0.1842625,0.009882689,4.774246E-05
91.97607,-0.1741191,-1.092729,0.008100956,4.050478E-05
66.86853,-1.899384,1.238737,0.00632902,4.619723E-05
71.31909,0.3888891,0.2146011,0.006528399,4.323443E-05
55.61389,1.121048,0.4972545,0.004547052,4.502032E-05
49.26514,-0.6386083,0.4101954,0.005540807,4.468393E-05
118.1658,2.105167,0.1128098,0.007618504,4.40376E-05
84.73657,-1.375498,-0.6042042,0.0075439,4.12235E-05
50.63184,0.284873,0.2458005,0.00474832,4.479547E-05
146.5795,0.2513933,1.312456,0.01278041,4.136054E-05
