time,alpha,beta,value,repro
99.6769,-1.245151,-2.776947,0.0108219,4.566203E-05
117.7631,0.03000835,-0.9954515,0.01091639,4.606071E-05
75.67914,-2.473877,1.010925,0.006341833,4.256263E-05
144.7902,0.2258407,-0.6653049,0.01285932,4.23004E-05
95.54645,-0.6789017,-3.069902,0.009591178,4.655912E-05
71.47375,2.553742,-1.852543,0.006864761,4.237506E-05
97.04315,-0.4551372,-0.7892938,0.007230164,4.518853E-05
52.96704,-0.6273875,-3.518631,0.005377605,4.676178E-05
48.24121,-2.090018,-2.166867,0.003901409,4.484378E-05
86.65839,-0.8859488,-2.573722,0.006788393,4.408047E-05
125.9456,-0.2756507,-2.684751,0.007998808,4.32368E-05
52.4314,-1.33287,-1.46608,0.004217039,4.217039E-05
33.51074,0.08006063,-1.526811,0.003195,4.84091E-05
53.9436,-0.1821712,-1.540864,0.005277633,4.670471E-05
154.6611,-0.3110031,-0.4143413,0.008037548,4.186223E-05
47.82788,-1.267462,-2.268907,0.004068537,4.238059E-05
60.97351,-0.7341502,-1.642228,0.005186344,4.549425E-05
107.1877,0.8446162,-0.6939491,0.006778042,3.917943E-05
