time,alpha,beta,value,repro
41.08382,-0.5753989,-2.986288,0.004479272,4.617806E-05
142.7544,-0.3693315,-2.205456,0.01403553,4.41369E-05
102.4451,-3.086365,0.7495136,0.0115362,4.288549E-05
103.4442,-0.6424544,-2.487952,0.01131596,4.352291E-05
103.0071,-1.219042,-1.791312,0.009981617,4.456079E-05
91.7309,2.251011,-1.912212,0.008117358,4.249926E-05
47.0791,-0.9747114,0.5275809,0.004836514,4.650494E-05
94.14154,-0.148688,-2.948202,0.007574229,3.965565E-05
71.35858,-0.990467,-1.167922,0.00772505,4.598244E-05
92.31238,0.07356896,-3.845404,0.006837292,3.777509E-05
49.12439,-2.562215,0.7427251,0.004780929,4.51031E-05
58.29492,-1.190591,-0.4153121,0.005293989,4.201578E-05
37.76807,1.363383,-0.7734042,0.003939259,4.689594E-05
38.15527,-0.6621656,0.4360015,0.00432956,4.417918E-05
64.60144,2.722868,-2.180693,0.006147196,4.239445E-05
71.04846,-1.373884,-1.229129,0.006196151,3.997517E-05
35.37732,-1.200792,-1.252629,0.003453645,4.263759E-05
105.215,-2.067994,-0.3531065,0.009404922,3.951648E-05
