time,alpha,beta,value,repro
116.1418,-0.5588867,0.09758903,0.01043715,4.441341E-05
122.1591,-0.2131179,0.1355192,0.01152961,4.649035E-05
77.54922,-2.572695,0.06458108,0.006366093,4.244062E-05
170.8688,2.532986,0.8021777,0.01276543,4.199156E-05
93.90399,-0.8048161,0.04311102,0.009550646,4.658852E-05
76.4671,2.667606,-1.652779,0.006807386,4.20209E-05
108.4139,0.1254305,1.058486,0.007621522,4.53662E-05
64.25623,0.09930297,-0.03831796,0.005272282,4.624809E-05
82.90234,1.042385,1.651429,0.003995979,4.489864E-05
98.71655,-1.55417,0.3778246,0.006557758,4.342886E-05
115.5199,0.003158676,0.5203198,0.00799226,4.296914E-05
62.33728,1.450298,1.402549,0.00443401,4.105565E-05
41.44336,1.050617,1.22251,0.003096187,4.837793E-05
63.30908,-0.1403034,1.326227,0.005445539,4.537949E-05
101.5399,0.7239106,0.3676783,0.008184032,4.240431E-05
48.42249,-0.5600079,0.09035186,0.004170161,4.170161E-05
75.22424,-0.149822,-1.108639,0.005210563,4.491865E-05
105.1703,1.12318,0.5985951,0.006956808,3.998166E-05
