time,alpha,beta,value,repro
39.13507,-0.4535999,-2.048295,0.00441705,4.601093E-05
147.8588,-0.8206967,-0.02263252,0.01381102,4.356788E-05
114.9022,-1.75512,3.051187,0.01218442,4.398709E-05
90.09512,0.01832484,0.5426784,0.01110549,4.372242E-05
98.72961,-0.53851,-0.4782587,0.009901726,4.440236E-05
91.50397,1.788956,-0.8910806,0.00846162,4.407094E-05
49.00592,-0.2578277,1.875254,0.004841626,4.746692E-05
81.51648,0.08174799,-2.634945,0.007629579,3.994544E-05
79.26019,-0.1074416,0.5862149,0.008225779,4.727459E-05
82.27136,-0.1727868,-1.089079,0.007019889,3.899938E-05
56.88843,0.5846769,0.5283996,0.004943877,4.535667E-05
57.57727,0.2785683,0.3171646,0.005298043,4.204796E-05
35.49573,1.177101,0.8654343,0.003354789,4.356869E-05
42.9635,-0.3727422,2.500635,0.004379751,4.469134E-05
69.81763,1.270382,-0.1425035,0.006370943,4.275801E-05
73.64063,-0.8782824,0.4682208,0.006427576,4.068086E-05
40.2262,0.2930587,0.2445211,0.003353136,4.244476E-05
101.6068,0.1593641,1.342221,0.009693947,4.022384E-05
