time,alpha,beta,value,repro
266.3427,0.8672453,-0.6279453,0.09779056,0.0002802022
243.0762,-0.4304801,1.714751,0.08899578,0.0002492879
178.3318,-2.216298,1.477653,0.07922998,0.0003094921
252.7593,4.329931,2.990718,0.2073023,0.0005823098
269.3899,-2.682316,-1.064331,0.1288005,0.0003777141
150.2487,2.016877,0.1237874,0.05680588,0.0002366912
212.1711,-2.235902,0.9451336,0.09619187,0.0003713972
173.7169,0.1559242,-0.1533741,0.07316275,0.000355159
112.0668,-2.350789,-0.8384361,0.05525595,0.0002892982
348.6495,-2.890009,-0.433092,0.06672395,0.0002863689
226.1003,-1.426768,1.896892,0.1054245,0.0004070446
128.8311,-3.595967,2.858377,0.0385025,0.0002238517
140.0027,0.5807713,0.5578693,0.07241443,0.0003771585
154.4451,-3.028295,4.879825,0.1139371,0.0005374389
178.6145,2.159245,0.4963805,0.05039957,0.000235512
129.3445,-2.140343,1.076033,0.04660667,0.0002694027
130.9485,1.613391,-1.165681,0.05606819,0.0003132301
170.7097,2.198497,-0.03237145,0.05417638,0.0002386625
