time,alpha,beta,value,repro
108.8562,2.304822,-2.562948,0.053604,0.0002791875
252.2672,-0.7278072,0.8530424,0.08609578,0.0002147027
252.3918,-1.050363,4.58274,0.1075314,0.0002655097
221.8857,4.82901,-1.369192,0.1214359,0.0003354583
211.0865,-2.435079,-0.7995958,0.1404672,0.0003677153
194.6571,4.932108,-1.048471,0.07240251,0.0002234646
117.9053,1.755578,4.821544,0.09017773,0.0004253667
158.6646,0.4327576,-4.998259,0.06375895,0.0002370221
152.6543,-2.513447,1.278908,0.06285596,0.0002261006
210.254,-2.931121,0.9837486,0.06157722,0.0002565717
129.2195,-2.925447,4.133262,0.1023882,0.0004413285
118.6853,-3.609595,4.948658,0.05635847,0.0002709542
103.4739,0.4461139,-0.1025584,0.06412204,0.000311272
119.7715,-1.941713,3.667172,0.1187273,0.0004885898
120.4067,0.3528181,1.670854,0.09258121,0.0004078467
146.0354,-1.19381,-0.2203641,0.05852567,0.0002233804
74.14087,-1.743689,-0.2172499,0.03096835,0.000215058
205.3203,-3.232984,2.928284,0.0641889,0.0001987272
