time,alpha,beta,value,repro
241.0494,0.8668259,-0.6252096,0.09776701,0.0002801347
212.139,-0.624616,4.529908,0.08823796,0.0002471652
180.2323,-1.048337,1.370248,0.07937548,0.0003100605
256.1557,4.30099,2.98832,0.2076557,0.0005833026
270.7914,-2.682397,-1.064107,0.1287291,0.0003775046
176.1536,1.43111,0.3757686,0.05690667,0.0002371111
218.2296,0.02532268,0.5339362,0.09598521,0.0003705993
178.9972,0.4092506,0.2323707,0.07320446,0.0003553614
123.5364,-2.268684,-0.8880767,0.05525723,0.0002893049
196.1758,0.4340361,-0.841,0.06665118,0.0002860566
248.353,-1.4491,1.911996,0.1056614,0.000407959
130.3572,-3.534214,2.818105,0.03849119,0.000223786
148.6863,0.7661373,0.5358201,0.07253754,0.0003777997
149.6309,-3.029462,4.881209,0.1140492,0.0005379679
187.8174,1.218284,0.3917439,0.05037336,0.0002353895
125.9807,-2.13906,1.075019,0.04663035,0.0002695396
124.061,1.568292,-0.7566512,0.05611879,0.0003135128
171.7422,0.6912126,0.3409026,0.05376761,0.0002368617
