time,alpha,beta,value,repro
108.619,2.424684,-2.392336,0.05358841,0.0002791063
287.5612,-0.6555877,1.01129,0.08646533,0.0002156243
244.8519,-1.051513,4.583002,0.1074456,0.0002652977
205.1422,4.110368,-1.154355,0.1213632,0.0003352576
209.2507,-2.488761,-0.7910486,0.1407232,0.0003683853
182.8505,4.92789,-1.052262,0.07244366,0.0002235915
120.5359,0.4422496,4.852898,0.0900454,0.0004247425
149.8527,-0.004132782,-4.998229,0.06388425,0.0002374879
153.3875,-2.51468,1.277685,0.06280091,0.0002259025
148.6969,-2.15363,1.031621,0.06150472,0.0002562697
133.5087,-3.109317,1.171066,0.1022541,0.0004407503
116.4929,-3.599512,4.919245,0.05642344,0.0002712665
104.3879,0.5002171,-0.1246732,0.06410109,0.0003111703
129.7029,-2.006097,3.820569,0.118748,0.0004886748
122.0247,2.566777,2.192368,0.09311953,0.0004102182
157.5579,-1.496777,-0.2952647,0.05853795,0.0002234273
78.81567,-1.637707,-0.2171788,0.0309778,0.0002151236
207.1377,-3.523207,2.584474,0.06420071,0.0001987638
